Clasica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200- 1Hilo,200- 2Hilos,200- 4Hilos,200- 6Hilos,200- 8Hilos,400- 1Hilos,400- 2Hilos,400- 4Hilos,400- 6Hilos,400 -8Hilos,800- 1Hilos,800- 2Hilos,800- 4Hilos,800- 6Hilos,800 -8Hilos,1000- 1Hilos,1000- 2Hilos,1000- 4Hilos,1000- 6Hilos,1000 -8Hilos,1400- 1Hilos,1200- 2Hilos,1200- 4Hilos,1200- 6Hilos,1200 -8Hilos,1400- 1Hilos,1400- 2Hilos,1400- 4Hilos,1400- 6Hilos,1400 -8Hilos
730691,675740,265568,807568,313762,1143553,399855,552240,527314,425312,2396706,1699694,1577863,874037,919255,4063713,2549127,1481196,2064173,1835243,6822651,4041863,2431329,2780066,2826206,9460753,6930282,4383421,3642591,2971778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768239,697270,283140,824150,330304,377488,543892,665828,626431,491855,2214785,1877022,1374531,1274026,1492465,3566464,2699722,1807218,1317980,1910222,6502585,3622610,2822174,2963347,2732527,9453659,5446053,4316080,4101794,2762795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805184,717742,300373,842257,347040,603652,710511,780196,731449,557879,2034808,1926444,1169462,734022,1058703,3945573,2889280,2198134,1594712,1541799,6140994,4287287,3352917,1435862,2516642,9393652,6090167,4268630,3640384,3789385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844158,738632,316510,860332,362712,836343,843032,892738,835875,625685,1819831,2100364,836968,1443358,629864,4410101,2960897,1751933,1919011,1425968,5762021,3868908,2084858,2702361,2216960,9972567,6183108,4276986,4166669,3546208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881698,760924,335023,879453,377115,1068726,978194,1008196,935201,711422,2539147,1257882,1476212,1113708,1195794,3860131,2910954,2136063,2053776,1560380,6496416,4692573,2661253,2918349,2129506,8973197,6491090,4407343,3598283,3495399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
